project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	65c210ef-f501-4752-a63f-5d9f5fb3d1e8	TCGA-CQ-A4CG-10A	c771eee7-23ae-4140-a650-cc981af9dd8a	TCGA-CQ-A4CG-10A-01	4b50b98d-e151-49ab-b5b1-32d7aa961e7a	TCGA-CQ-A4CG-10A-01D	08cf1852-84bf-4af9-b7ea-12d38a3749fb	TCGA-CQ-A4CG-10A-01D-A25Y-08	3.2	40.0	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	65c210ef-f501-4752-a63f-5d9f5fb3d1e8	TCGA-CQ-A4CG-10A	c771eee7-23ae-4140-a650-cc981af9dd8a	TCGA-CQ-A4CG-10A-01	4b50b98d-e151-49ab-b5b1-32d7aa961e7a	TCGA-CQ-A4CG-10A-01D	f4e3636a-1277-42ae-af82-c711e363493e	TCGA-CQ-A4CG-10A-01D-A25X-01	1.07	6.7	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	65c210ef-f501-4752-a63f-5d9f5fb3d1e8	TCGA-CQ-A4CG-10A	c771eee7-23ae-4140-a650-cc981af9dd8a	TCGA-CQ-A4CG-10A-01	8b27bc32-2330-4658-a0e0-f74492983301	TCGA-CQ-A4CG-10A-01W	09d8e393-6bff-4f84-bf95-ee339147efc1	TCGA-CQ-A4CG-10A-01W-A296-08	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	229268df-bf30-4941-8797-657882e39eee	TCGA-CQ-A4CG-01A-11D	009cbff6-7773-4ad9-a8a3-4770af607598	TCGA-CQ-A4CG-01A-11D-A25Y-08	2.8	40.0	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	229268df-bf30-4941-8797-657882e39eee	TCGA-CQ-A4CG-01A-11D	609c2f69-1d94-4be4-b553-0755f8627fc1	TCGA-CQ-A4CG-01A-11D-A265-05	1.95	13.0	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	229268df-bf30-4941-8797-657882e39eee	TCGA-CQ-A4CG-01A-11D	b0333339-f80b-473f-9311-e111c7dce1e6	TCGA-CQ-A4CG-01A-11D-A25X-01	1.01	6.7	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	8e009af8-0138-4863-a283-55576d354d8f	TCGA-CQ-A4CG-01A-11W	8bf221d4-7cfd-4c3a-a997-bbad2c3f3ad0	TCGA-CQ-A4CG-01A-11W-A296-08	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	c3171a9a-7914-4e15-bef2-5511c8c87ead	TCGA-CQ-A4CG-01A-11R	9e13b2db-0c54-4ae2-b8cf-8cd1385bf630	TCGA-CQ-A4CG-01A-11R-A25Z-13	3.2	20.0	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e7a055d9-8d68-4e6b-bade-4b2585757210	TCGA-CQ-A4CG	73479b59-8a67-45be-aaa5-8ba6770a6d4c	TCGA-CQ-A4CG-01A	e37012e6-3c19-47a0-a04f-82b67178d9ec	TCGA-CQ-A4CG-01A-11	c3171a9a-7914-4e15-bef2-5511c8c87ead	TCGA-CQ-A4CG-01A-11R	eee78dec-0b18-48ea-a793-56dd12dc3d3f	TCGA-CQ-A4CG-01A-11R-A266-07	2.08	13.0	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-HNSC	e8ac39e6-377a-412c-b18d-f6c4fc654ec6	TCGA-HD-7753	7fb56f25-873d-475c-9db6-f0be3945d926	TCGA-HD-7753-10A	1cd94ba5-69cb-4f2c-a3d3-368659443f0c	TCGA-HD-7753-10A-01	7bd4a2f8-7e55-49c2-ac1e-eb76fe0789d4	TCGA-HD-7753-10A-01W	853f2483-7c4f-428c-9791-8320e37aad9e	TCGA-HD-7753-10A-01W-2159-08	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released
