File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
bb3cbfb0-e98e-4340-b949-93577164992b	b3e0ed23-3946-4576-8ff2-c47809e2bc68.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-D6-A4ZB	TCGA-D6-A4ZB-01A	Primary Tumor
9eda745e-b182-4611-a4a6-242db8a07337	0269349e-aab4-459d-8a8b-99534c01c90e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-D6-A4ZB	TCGA-D6-A4ZB-01A	Primary Tumor
69252a54-bbd0-4e93-a936-6dcb920acfb3	d1d934ef-2e6d-4d28-8418-9a0b5ef66c0c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7435	TCGA-CV-7435-01A	Primary Tumor
833be910-c265-44a4-a428-43fe039c19b2	2ec5d128-4d3f-4537-ad5e-75bc07da8e15.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CV-7430	TCGA-CV-7430-01A	Primary Tumor
19c52ed3-417c-4438-a32b-5aa169f5d7d3	336b6bb7-5830-4950-8e7c-4472741dd05a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CR-6480	TCGA-CR-6480-01A	Primary Tumor
5c257396-c22c-4846-9fcc-a8ef1915998b	5bf0c22a-d47f-4b0d-9d43-760fcaa1b42c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7370	TCGA-CR-7370-01A	Primary Tumor
197310fb-a8df-4b32-8726-a7be95ca0cd9	e58d3418-858c-4293-b492-08f5e62ca1fd.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-BA-A6DG	TCGA-BA-A6DG-01A	Primary Tumor
5d0f1f48-455c-481e-8d2a-3fd8494aae17	9f085f04-e6ef-47a9-a8d8-15a03ea7c174.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CR-6481	TCGA-CR-6481-01A	Primary Tumor
a6d8ea07-b43b-491b-8acd-09f57c4b3a3b	963cb78b-6480-453f-9f62-d92c205f034a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-HL-7533	TCGA-HL-7533-01A	Primary Tumor
5dad89d3-a15a-4dcd-9b91-77f824f343bf	d1c3a993-a9b3-4938-949a-a38793413139.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7398	TCGA-CR-7398-01A	Primary Tumor
97387837-2411-475f-abcd-de3d745c9b9e	e4975b19-3921-45c6-b21c-33119b4b5fed.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CQ-5330	TCGA-CQ-5330-01A	Primary Tumor
fbfae378-7eff-4ee2-ab5f-4e5b85ab30a7	a4afd140-2bdb-455e-b5b6-b83774839dd7.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-BB-A5HZ	TCGA-BB-A5HZ-01A	Primary Tumor
c154a3bf-d679-4cab-84a5-d9dad53de341	0d434960-a8e7-42fc-b25e-77e09d62e6f6.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CR-7377	TCGA-CR-7377-01A	Primary Tumor
a7f46029-9c1a-49bd-88ab-61664e345f97	de53dd9c-416a-492f-89bf-a79866fd3f2d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A464	TCGA-CV-A464-01A	Primary Tumor
041aeb93-f142-40c9-a878-2a10d3d1d2cf	054bcc02-0463-4a2f-94a7-b268c15a47d4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7416	TCGA-CV-7416-01A	Primary Tumor
480a45c8-d1cd-4900-b1f1-5e97ef5ea33a	c39de023-c13b-4350-950f-4a87aab4f627.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-BB-7870	TCGA-BB-7870-01A	Primary Tumor
8e8baed7-5df4-42d0-aed6-42e7475bb0c2	1d91331e-9fde-48b1-9e87-e322f82ed2dc.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CN-5366	TCGA-CN-5366-01A	Primary Tumor
3082e454-df87-4671-851a-28498f6398d9	fb590893-1f88-47fe-9da0-db06219609b3.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CR-7376	TCGA-CR-7376-01A	Primary Tumor
eef679a9-eb10-478c-a383-af9e7096105a	47c5f1a0-cf05-47fd-92e7-79637087f117.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CQ-A4CB	TCGA-CQ-A4CB-01A	Primary Tumor
6d060fd0-ff90-4e95-9d78-4e2711fa2010	fb590893-1f88-47fe-9da0-db06219609b3.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CR-7376	TCGA-CR-7376-01A	Primary Tumor
9c52b995-29b4-471e-8524-a961d1a570f6	4ffcd57e-8146-46ff-a118-ac047be74ef7.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-HD-7229	TCGA-HD-7229-01A	Primary Tumor
f97ae484-c4fd-4253-896e-3e3f96471f05	b92a6b85-da4b-4ce0-bc1e-fd8908f1edba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-P3-A6T6	TCGA-P3-A6T6-01A	Primary Tumor
37abc5ca-b0e4-454b-bf38-12f1f93003b1	3b0433cb-98c8-4725-b675-99221cb90e56.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CQ-5326	TCGA-CQ-5326-01A	Primary Tumor
84d1f1cb-ff06-4cc7-9866-67d738bac419	eb102931-4d5d-469d-82bb-187c6e81d6fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A45R	TCGA-CV-A45R-01A	Primary Tumor
00493cfb-cfcf-4994-b4f4-3f1ff94e21f8	6d1ffd0c-ba13-463e-b5c4-20d2dab6294d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A463	TCGA-CV-A463-01A	Primary Tumor
f8d2d521-4274-483f-b187-81129d4de770	35f447fe-b60b-45bd-b094-f206913f17f6.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CV-A6K0	TCGA-CV-A6K0-01B	Primary Tumor
8b47432b-ca3f-487f-9e42-b40b20aa5705	7c9d6da6-a80f-4412-ad16-39a4b8420f28.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CV-7432	TCGA-CV-7432-11A	Solid Tissue Normal
65832670-f227-496d-97cc-761ca61c8977	1fc3c987-0490-4abb-b9f9-103506823099.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CV-7103	TCGA-CV-7103-01A	Primary Tumor
c5213a46-cd70-4635-9867-f825e05b6329	efd9f9bf-2367-459b-a0a2-3dd6d345b799.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-UF-A7JA	TCGA-UF-A7JA-01A	Primary Tumor
26013a2c-7313-408b-8f89-83ab90174b06	efd9f9bf-2367-459b-a0a2-3dd6d345b799.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-UF-A7JA	TCGA-UF-A7JA-01A	Primary Tumor
36697eb3-31ab-4c81-9f93-5e812fec5ffa	2d830b5f-3499-4555-b686-70e6df233924.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7178	TCGA-CV-7178-11A	Solid Tissue Normal
7515c5ed-4d5a-485d-b2f4-8d4fea89417b	3a8e0c8c-5bf5-4d4e-89e4-7ffad0d03fb3.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CV-7428	TCGA-CV-7428-01A	Primary Tumor
6f7e30d2-90bf-4a80-a823-35864ddbe10b	01bdc4db-ed9a-483b-807a-00d755368f80.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CV-7178	TCGA-CV-7178-11A	Solid Tissue Normal
c013ba53-35bf-4b40-a744-21f390303dee	6a4d9398-65fd-408f-b92f-def4db9c362f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-6433	TCGA-CV-6433-01A	Primary Tumor
3989978f-0359-4d66-94e9-b442b0f1f800	121eee05-f8dd-498f-8323-d288d0b6ebf0.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CV-7178	TCGA-CV-7178-01A	Primary Tumor
7330ecae-1ccd-4fd1-9925-09d21519e084	01bdc4db-ed9a-483b-807a-00d755368f80.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CV-7178	TCGA-CV-7178-11A	Solid Tissue Normal
b0112def-99f9-4128-b92b-6e34789b1c57	9e393dd1-9ace-4c25-b262-973fdf0d8262.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-HNSC	TCGA-CN-4726	TCGA-CN-4726-01A	Primary Tumor
76fa068e-03eb-496d-a1a1-18cd09473ddc	1967f7fa-fef9-423f-9bc1-d837873f389f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-HNSC	TCGA-CN-A63V	TCGA-CN-A63V-01A	Primary Tumor
f196d91c-3eb9-4bbd-aabb-43a2879d6162	a9df4b63-622a-4ae2-a646-7a027002d8d1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-RS-A6TP	TCGA-RS-A6TP-01A	Primary Tumor
edf5ea47-414a-4e58-be4e-942e749a4733	778c044c-a40b-4dc3-a109-ec33a8ffef4d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-6934	TCGA-CV-6934-01A	Primary Tumor
ec43db9b-d34c-4474-b724-57434589d558	ebbf81c5-7038-4e78-8016-5f00f0f47abb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7440	TCGA-CV-7440-11A	Solid Tissue Normal
